date	CPU 1	CPU 2	CPU 3	CPU 4
629	1.94	1.06	0.06	1.94
630	1.94	1.06	0.06	1.94
631	1.94	1.06	0.06	1.06
632	1.06	3.81	0.94	1.06
633	1.06	3.81	0.94	1.06
634	1.06	3.81	0.94	1.06
635	1.06	3.81	0.94	1.06
636	1.06	3.81	0.94	1.00
637	1.00	2.13	0.06	1.00
638	1.00	2.13	0.06	1.00
639	1.00	2.13	0.06	1.00
640	1.00	2.13	0.06	1.00
641	1.00	2.13	0.06	1.00
642	1.00	2.94	0.00	1.00
643	1.00	2.94	0.00	1.00
644	1.00	2.94	0.00	1.00
645	1.00	2.94	0.00	1.00
646	1.00	2.94	0.00	1.94
647	1.94	1.13	0.00	1.94
648	1.94	1.13	0.00	1.94
649	1.94	1.13	0.00	1.94
650	1.94	1.13	0.00	1.94
651	1.94	1.13	0.00	1.06
652	1.06	1.94	0.94	1.06
653	1.06	1.94	0.94	1.06
654	1.06	1.94	0.94	1.06
655	1.06	1.94	0.94	1.06
656	1.06	1.94	0.94	1.00
657	1.94	0.13	1.00	1.00
658	1.94	0.13	1.00	1.00
659	1.94	0.13	1.00	1.00
660	1.94	0.13	1.00	1.00
661	1.94	0.13	1.00	1.94
662	2.00	0.00	0.06	1.94
663	2.00	0.00	0.06	1.94
664	2.00	0.00	0.06	1.94
665	2.00	0.00	0.06	1.94
666	2.00	0.00	0.06	2.00
667	1.06	0.94	3.75	2.00
668	1.06	0.94	3.75	2.00
669	1.06	0.94	3.75	2.00
670	1.06	0.94	3.75	2.00
671	1.06	0.94	3.75	3.87
672	0.06	0.06	0.25	3.87
673	0.06	0.06	0.25	3.87
674	0.06	0.06	0.25	3.87
675	0.06	0.06	0.25	3.87
676	0.06	0.06	0.25	3.07
677	2.80	0.93	1.86	3.07
678	2.80	0.93	1.86	3.07
679	2.80	0.93	1.86	3.07
680	2.80	0.93	1.86	3.07
681	2.80	0.93	1.86	1.13
682	1.13	0.06	0.13	1.13
683	1.13	0.06	0.13	1.13
684	1.13	0.06	0.13	1.13
685	1.13	0.06	0.13	1.13
686	1.13	0.06	0.13	1.00
687	1.00	0.00	0.00	1.00
688	1.00	0.00	0.00	1.00
689	1.00	0.00	0.00	1.00
690	1.00	0.00	0.00	1.00
691	1.00	0.00	0.00	2.87
692	1.00	0.00	0.00	2.87
693	1.00	0.00	0.00	2.87
694	1.00	0.00	0.00	2.87
695	1.00	0.00	0.00	2.87
696	1.00	0.00	0.00	2.06
697	6.62	0.00	0.94	2.06
698	6.62	0.00	0.94	2.06
699	6.62	0.00	0.94	2.06
700	6.62	0.00	0.94	2.06
701	6.62	0.00	0.94	0.13
702	4.19	0.00	1.00	0.13
703	4.19	0.00	1.00	0.13
704	4.19	0.00	1.00	0.13
705	4.19	0.00	1.00	0.13
706	4.19	0.00	1.00	3.71
707	0.29	0.00	1.00	3.71
708	0.29	0.00	1.00	3.71
709	0.29	0.00	1.00	3.71
710	0.29	0.00	1.00	3.71
711	0.29	0.00	1.00	2.13
712	3.74	0.00	0.07	2.13
713	3.74	0.00	0.07	2.13
714	3.74	0.00	0.07	2.13
715	3.74	0.00	0.07	2.13
716	3.74	0.00	0.07	0.12
717	4.94	0.00	0.00	0.12
718	4.94	0.00	0.00	0.12
719	4.94	0.00	0.00	0.12
720	4.94	0.00	0.00	0.12
721	4.94	0.00	0.00	1.87
722	5.94	0.00	0.00	1.87
723	5.94	0.00	0.00	1.87
724	5.94	0.00	0.00	1.87
725	5.94	0.00	0.00	1.87
726	5.94	0.00	0.00	2.94
727	1.32	1.87	0.00	2.94
728	1.32	1.87	0.00	2.94
729	1.32	1.87	0.00	2.94
730	1.32	1.87	0.00	2.94
731	1.32	1.87	0.00	3.94
732	1.00	1.06	0.94	3.94
733	1.00	1.06	0.94	3.94
734	1.00	1.06	0.94	3.94
735	1.00	1.06	0.94	3.94
736	1.00	1.06	0.94	0.26
737	4.74	0.06	0.06	0.26
738	4.74	0.06	0.06	0.26
739	4.74	0.06	0.06	0.26
740	4.74	0.06	0.06	0.26
741	4.74	0.06	0.06	0.94
742	4.06	0.00	0.00	0.94
743	4.06	0.00	0.00	0.94
744	4.06	0.00	0.00	0.94
745	4.06	0.00	0.00	0.94
746	4.06	0.00	0.00	1.00
747	3.06	0.94	0.00	1.00
748	3.06	0.94	0.00	1.00
749	3.06	0.94	0.00	1.00
750	3.06	0.94	0.00	1.00
751	3.06	0.94	0.00	2.87
752	1.13	1.94	0.00	2.87
753	1.13	1.94	0.00	2.87
754	1.13	1.94	0.00	2.87
755	1.13	1.94	0.00	2.87
756	1.13	1.94	0.00	3.00
757	1.00	1.07	0.00	3.00
758	1.00	1.07	0.00	3.00
759	1.00	1.07	0.00	3.00
760	1.00	1.07	0.00	3.00
761	1.00	1.07	0.00	1.13
762	3.80	0.07	0.00	1.13
763	3.80	0.07	0.00	1.13
764	3.80	0.07	0.00	1.13
765	3.80	0.07	0.00	1.13
766	3.80	0.07	0.00	0.06
767	4.00	0.94	0.00	0.06
768	4.00	0.94	0.00	0.06
769	4.00	0.94	0.00	0.06
770	4.00	0.94	0.00	0.06
